dataset_id,RMSE,NRMSE,sMAPE,context_len
1652,555.2055,0.32000318,16.217049956321716,51
1546,651.778,0.4464233,17.712880671024323,51
1894,444.0012,0.4361505,7.004833221435547,126
2047,980.59186,0.8104065,19.691312313079834,115
2255,55.898163,0.0989348,1.364597212523222,116
2492,1899.7793,0.77384084,27.988657355308533,126
2594,103.97904,0.2511571,3.0399421229958534,116
2658,1587.9993,0.59811646,34.80474352836609,55
2737,1797.4275,0.7674754,27.044284343719482,116
2758,1398.67,0.32641074,10.966972261667252,54
2817,161.26393,0.33457246,1.8751449882984161,53
2823,174.37941,0.62930113,5.010832846164703,53
